Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Study_Participant_ID,What is the Virtual Silcton unique identifier? (Copy and paste below),Browser Meta Info - Browser,Browser Meta Info - Version,Browser Meta Info - Operating System,Browser Meta Info - Resolution,What is your age?,"How many years of education have you completed? 
 

Completing high school is equivalent to 12 years of education (e.g., an undergraduate student will have completed 14 years of education by the end of their second year at college / university).",Is English your first language?,Do you normally write with your right hand?,What sex were you assigned at birth?,Q8,What is your gender identity? - Other (please specify) - Text,What is your sexual orientation? - Selected Choice,What is your sexual orientation? - Other (please specify) - Text,What is your race / ethnicity? - Selected Choice,What is your race / ethnicity? - Other (please specify) - Text,1) - I am very good at giving directions.,2) - I have a poor memory for where I left things.,3) - I am very good at judging distances.,"4) - My ""sense of direction"" is very good.","5) - I tend to think of my environment in terms of cardinal directions (N, S, E, W).",6) - I very easily get lost in a new city.,7) - I enjoy reading maps.,8) - I have trouble understanding directions.,9) - I am very good at reading maps.,10) - I don't remember routes very well while riding as a passenger in a car.,11) - I don't enjoy giving directions.,12) - It's not important to me to know where I am.,13) - I usually let someone else do the navigational planning for long trips.,14) - I can usually remember a new route after I have traveled it only once.,"15) - I don't have a very good ""mental map"" of my environment.","When planning a route, do you picture a map of your route or do you picture scenes of what you will see along the way? - Selected Choice","When planning a route, do you picture a map of your route or do you picture scenes of what you will see along the way? - Other: - Text",Do you consider yourself a good navigator?,Do you find it easy to read and use maps?,How often do you get disoriented while finding your way around?,"When thinking about a familiar street, how well can you picture the buildings along it?","Would you give directions to a friend in terms of landmarks (i.e. when you see the subway stop, turn left) or in terms of map directions (i.e. walk north four blocks, then turn left)? - Selected Choice","Would you give directions to a friend in terms of landmarks (i.e. when you see the subway stop, turn left) or in terms of map directions (i.e. walk north four blocks, then turn left)? - Other: - Text",Do you picture travelling a route on street level or from a bird's eye view? - Selected Choice,Do you picture travelling a route on street level or from a bird's eye view? - Other: - Text,"When navigating in an area you know well, do you usually just know where to go or do you need to look around at the surroundings to decide (e.g. coming out of a subway station)?","When traveling along a new route, do you usually remember what buildings you've passed?",Would you prefer to navigate using a list of directions or a map,Do you use landmarks (i.e. familiar buildings) to orient yourself when navigating?,"Do you find you're flexible navigating along routes (i.e. you can take new shortcuts easily, or do you prefer to follow the same path every time?",How easily could you draw a map of the city that you know?,"Do you think that you navigate by following a mental map, or working on scene at a time. - Selected Choice","Do you think that you navigate by following a mental map, or working on scene at a time. - Other: - Text","Z”˛;mso-bidi-font-family:P>Z”˛;
color:black"">How much video game experience do you have?",How good do you feel you are at playing video games?,Do you currently play video games?,How often (approximately) do you currently play video games?,How many years have you consistently played video games (lifetime)?,"At your peak playing, how many hours per week did you play video games?",Within the past five years how often have you played any video games?,Do you currently have a device to play video games?,What type of device(s)? Exclude immersive VR setups.,"This next set of questions have to do with a specific kind of video game. 
Have you ever played video games involving navigation, walking, or driving (examples include Grand Theft Auto, Halo, Call of Duty, World of Warcraft, League of Legends, Minecraft, Legend of Zelda: Breath of the Wild)?","How often (approximately) do you currently play video games involving navigation, walking, or driving?","At your peak playing, how many hours per week did you play video games involving navigation, walking, or driving?",What are your Top 4 (in order) video games that you like to play? (write Not Applicable if you don't play video games) - 1.,What are your Top 4 (in order) video games that you like to play? (write Not Applicable if you don't play video games) - 2.,What are your Top 4 (in order) video games that you like to play? (write Not Applicable if you don't play video games) - 3.,What are your Top 4 (in order) video games that you like to play? (write Not Applicable if you don't play video games) - 4.,"Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Groups - Your Top 3 Genres, or video game categories, that you enjoy playing.","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Action - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Adventure Fighting - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Arcade - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - City-building games - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Economic simulation games - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Educational - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - First-person shooter - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Flight - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - God games - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Mass. Multi. Online Games - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Other (specify) - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Maze - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Military - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Music - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Pinball - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Platform - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Puzzle - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Strategy - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Racing - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Real-time and turn-based tactical - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Real-time and turn-based strategy - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Role-playing - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Simulators - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Space - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Sports - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Stealth - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Strategy war games - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Survival/Horror - Rank","Select your top 3 genres or video game categories that you enjoy playing. (Leave blank if you do not play video games). - Ranks - Your Top 3 Genres, or video game categories, that you enjoy playing. - Vehicular combat - Rank"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID77_TEXT""}","{""ImportId"":""QID78_TEXT""}","{""ImportId"":""QID179651201_BROWSER""}","{""ImportId"":""QID179651201_VERSION""}","{""ImportId"":""QID179651201_OS""}","{""ImportId"":""QID179651201_RESOLUTION""}","{""ImportId"":""QID179651202_TEXT""}","{""ImportId"":""QID179651203_TEXT""}","{""ImportId"":""QID179651204""}","{""ImportId"":""QID179651205""}","{""ImportId"":""QID179651207""}","{""ImportId"":""QID179651208""}","{""ImportId"":""QID179651208_6_TEXT""}","{""ImportId"":""QID179651209""}","{""ImportId"":""QID179651209_4_TEXT""}","{""ImportId"":""QID179651210""}","{""ImportId"":""QID179651210_8_TEXT""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID63""}","{""ImportId"":""QID63_3_TEXT""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID68_3_TEXT""}","{""ImportId"":""QID69""}","{""ImportId"":""QID69_3_TEXT""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID76_3_TEXT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID49_4""}","{""ImportId"":""QID50_0_GROUP""}","{""ImportId"":""QID50_G0_1_RANK""}","{""ImportId"":""QID50_G0_2_RANK""}","{""ImportId"":""QID50_G0_3_RANK""}","{""ImportId"":""QID50_G0_4_RANK""}","{""ImportId"":""QID50_G0_5_RANK""}","{""ImportId"":""QID50_G0_6_RANK""}","{""ImportId"":""QID50_G0_7_RANK""}","{""ImportId"":""QID50_G0_8_RANK""}","{""ImportId"":""QID50_G0_9_RANK""}","{""ImportId"":""QID50_G0_10_RANK""}","{""ImportId"":""QID50_G0_11_RANK""}","{""ImportId"":""QID50_G0_12_RANK""}","{""ImportId"":""QID50_G0_13_RANK""}","{""ImportId"":""QID50_G0_14_RANK""}","{""ImportId"":""QID50_G0_15_RANK""}","{""ImportId"":""QID50_G0_16_RANK""}","{""ImportId"":""QID50_G0_17_RANK""}","{""ImportId"":""QID50_G0_18_RANK""}","{""ImportId"":""QID50_G0_19_RANK""}","{""ImportId"":""QID50_G0_20_RANK""}","{""ImportId"":""QID50_G0_21_RANK""}","{""ImportId"":""QID50_G0_22_RANK""}","{""ImportId"":""QID50_G0_23_RANK""}","{""ImportId"":""QID50_G0_24_RANK""}","{""ImportId"":""QID50_G0_25_RANK""}","{""ImportId"":""QID50_G0_26_RANK""}","{""ImportId"":""QID50_G0_27_RANK""}","{""ImportId"":""QID50_G0_28_RANK""}","{""ImportId"":""QID50_G0_29_RANK""}"
6/29/2021 14:53,6/29/2021 14:58,Survey Preview,,100,319,TRUE,6/29/2021 14:59,R_1QMF6At0X0vqqhM,,,,,29.61380005,-82.38600159,preview,EN,,,Edge,91.0.864.59,Windows NT 10.0,1920x1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2021 7:55,6/30/2021 8:07,IP Address,128.227.1.46,100,762,TRUE,6/30/2021 8:07,R_UxAdYXCmYlckw1P,,,,,29.61380005,-82.38600159,anonymous,EN,3,f597f974-bfd7-4313-adaf-eaa9edc4aa55,Edge,91.0.864.59,Windows NT 10.0,1536x864,23,16,english,right,female,woman,,heterosexual,,"black/afri-amer,white",,Disagree,Somewhat disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Scene,,No,No,Very Often,Somewhat clearly,Landmarks,,Street-level,,Neet to look around,Somewhat,Directions,Often,Prefer the same route,Not easily,Scene at a time,,None at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/2021 6:54,7/22/2021 7:10,IP Address,128.227.1.48,100,924,TRUE,7/22/2021 7:10,R_tKdOZyl8WJG9kc1,,,,,29.61380005,-82.38600159,anonymous,EN,4,,Edge,91.0.864.67,Windows NT 10.0,1280x720,25,14,english,right,female,woman,,heterosexual,,"black/afri-amer,hisp",,Somewhat disagree,Neutral,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neutral,Somewhat agree,Somewhat disagree,Neutral,Somewhat disagree,Somewhat disagree,Disagree,Disagree,Neutral,Scene,,No,Somewhat,Somewhat Often,Hardly at all,Landmarks,,Street-level,,Know it,Rarely,Directions,Sometimes,Somewhat flexile,Not easily,Scene at a time,,None at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/2021 8:58,7/22/2021 9:05,IP Address,128.227.1.49,100,460,TRUE,7/22/2021 9:05,R_1FfisCo8TYqN9KE,,,,,29.61380005,-82.38600159,anonymous,EN,5,,Edge,91.0.864.71,Windows NT 10.0,1536x864,27,20,english,right,female,woman,,heterosexual,,white,,Agree,Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Strongly disagree,Disagree,Somewhat agree,Somewhat disagree,Scene,,Yes,Yes,Very Rarely,Very clearly,Landmarks,,Street-level,,Know it,Yes,Directions,Often,Flexible,Somewhat easily,Maps,,A little,not very skilled,No,,1,5-Jan,few times a year,No,,Yes,few times a year,5-Jan,Frogger,Centipede,Animal Crossing,NA,"Puzzle,Arcade",,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,
7/27/2021 8:35,7/27/2021 9:08,IP Address,128.227.1.49,100,1971,TRUE,7/27/2021 9:08,R_3fIgkQMPdhvCgli,,,,,29.61380005,-82.38600159,anonymous,EN,6,,Edge,91.0.864.71,Windows NT 10.0,1536x864,22,16,english,right,male,man,,heterosexual,,white,,Somewhat agree,Somewhat agree,Somewhat disagree,Neutral,Agree,Somewhat disagree,Strongly agree,Neutral,Somewhat agree,Somewhat disagree,Neutral,Somewhat disagree,Disagree,Disagree,Neutral,Map,,Yes,Yes,Very Rarely,Very clearly,Landmarks,,Bird's Eye View,,Know it,Rarely,Map,Sometimes,Prefer the same route,Somewhat easily,Maps,,A great deal,an expert,Yes,daily,18,20+,daily,Yes,"PlayStation,Wii,Wii U,Nintendo Switch,Nintendo DS/3DS,PC/Mac,Mobile",Yes,daily,20+,Red Dead Redemption 2,Mass Effect,Civilization V,Elder Scrolls V: Skyrim,"Action,Role-playing,Military",1,,,,,,,,,,,,3,,,,,,,,,2,,,,,,,
7/29/2021 12:47,7/29/2021 12:56,IP Address,128.227.1.48,100,505,TRUE,7/29/2021 12:56,R_26nJ65i1Zhs0S5M,,,,,29.61380005,-82.38600159,anonymous,EN,7,,Edge,92.0.902.55,Windows NT 10.0,1280x720,18,12,english,right,male,man,,heterosexual,,white,,Agree,Disagree,Agree,Strongly agree,Somewhat agree,Somewhat disagree,Neutral,Disagree,Somewhat agree,Disagree,Disagree,Strongly disagree,Neutral,Somewhat agree,Disagree,Map,,Yes,Yes,Very Rarely,Very clearly,Landmarks,,Street-level,,Some of each,Somewhat,Directions,Often,Somewhat flexile,Somewhat easily,Scene at a time,,A great deal,very good,Yes,weekly,14,16-20,weekly,Yes,"Wii,Nintendo Switch,Xbox",Yes,weekly,16-20,Super Smash Bros.,Animal Crossing,Donkey Kong Country,Final Fantasy,"Space,Adventure Fighting,Action",3,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,
9/3/2021 9:07,9/3/2021 9:56,IP Address,128.227.206.219,100,2933,TRUE,9/3/2021 9:56,R_2SqsNWQEz3dMqut,,,,,29.68249512,-82.36060333,anonymous,EN,8,,Edge,92.0.902.78,Windows NT 10.0,1920x1080,25,18,not english,not right,female,woman,,heterosexual,,white,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neutral,Disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Neutral,Somewhat agree,Scene,,No,Somewhat,Somewhat Often,Very clearly,Landmarks,,Street-level,,Some of each,Yes,No preference,Often,Prefer the same route,Somewhat easily,Scene at a time,,A little,not very skilled,No,,2,5-Jan,few times a year,No,,Yes,few times a year,5-Jan,The Sims 4,,,,"City-building games,Strategy,Puzzle,Survival/Horror",,,,1,,,,,,,,,,,,,3,2,,,,,,,,,,4,
9/3/2021 11:43,9/3/2021 11:55,IP Address,128.227.206.219,100,708,TRUE,9/3/2021 11:55,R_2CmqgpC4lZJtysB,,,,,29.68249512,-82.36060333,anonymous,EN,9,,Edge,92.0.902.78,Windows NT 10.0,1920x1080,23,16,english,right,male,man,,heterosexual,,"hisp,white",,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Somewhat agree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Other:,Both,Yes,Yes,Very Rarely,Very clearly,Other:,"Both,  map directions with visuals along the way.",Street-level,,Some of each,Yes,Map,Sometimes,Flexible,Very easily,Maps,,A moderate amount,moderately good,No,,5,5-Jan,few times a year,Yes,"PlayStation,Xbox,PC/Mac,Mobile",Yes,few times a year,5-Jan,Minecraft,COD,GTA,Rockband,"First-person shooter,City-building games,Racing",,,,2,,,1,,,,,,,,,,,,3,,,,,,,,,,
9/3/2021 13:14,9/3/2021 13:23,IP Address,128.227.206.219,100,524,TRUE,9/3/2021 13:23,R_Dvp8a7Eil4apZZv,,,,,29.68249512,-82.36060333,anonymous,EN,10,,Edge,92.0.902.78,Windows NT 10.0,1920x1080,26,17,not english,right,female,woman,,heterosexual,,"hisp,white",,Strongly agree,Somewhat agree,Neutral,Strongly agree,Somewhat disagree,Somewhat disagree,Agree,Disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Map,,Yes,Yes,Very Rarely,Somewhat clearly,Landmarks,,Bird's Eye View,,Know it,Yes,Map,Often,Flexible,Somewhat easily,Scene at a time,,A little,not very skilled,No,,0,5-Jan,never,No,,Yes,never,5-Jan,Grand Theft Auto,Mario cart,Not Applicable,Not Applicable,"Arcade,Educational,Puzzle",,,1,,,2,,,,,,,,,,,3,,,,,,,,,,,,
